Rank,Player Name,Position,College
478,Daniel Sobkowicz,WR,Illinois State
479,Tanner Arkin,TE,Illinois
480,Rohan Jones,TE,Arkansas
481,O'Mega Blake,WR,Arkansas
482,Dominic Deluca,LB,Penn State
483,Kaidon Salter,QB,Colorado
484,Gavin Gerhardt,IOL,Cincinnati
485,Hunter Zambrano,IOL,Texas Tech
486,Fred Davis II,CB,Northwestern
487,Gabriel Rubio,DL,Notre Dame
488,Jacob De Jesus,WR,California
489,Kam Dewberry,IOL,Alabama
490,Zaylin Wood,DL,Vanderbilt
491,Rasheed Miller,OT,Louisville
492,Darryl Peterson III,EDGE,Wisconsin
493,Rashad Battle,CB,Pittsburgh
494,Omari Evans,WR,Washington
495,Nyzier Fourqurean,CB,Wisconsin
496,Walker Parks,IOL,Clemson
497,Austin Leausa,IOL,BYU
498,Rocco Underwood,LS,Florida
499,Kevorian Barnes,RB,TCU
500,Jaffer Murphy,K,UTSA
501,Eli Blakey,S,Miami (OH)
502,Derek Simmons,OT,Oklahoma
503,Jalil Farooq,WR,Maryland
504,Jameson Geers,TE,Minnesota
505,Isaiah Jatta,OT,BYU
506,Bernard Gooden,DL,LSU
507,Rocco Spindler,IOL,Nebraska
508,Ethan Hurkett,EDGE,Iowa
509,Pete Nygra,IOL,Louisville
510,Jalen Logan-Redding,DL,Minnesota
511,Dariel Djabome,LB,Rutgers
512,Devin Voisin,WR,South Alabama
513,E.J. Williams,WR,Indiana
514,Jaden Keller,LB,Virginia Tech
515,Rara Thomas,WR,Troy
516,Maverick McIvor,QB,Western Kentucky
517,Dequan Finn,QB,Miami (OH)
518,Garrison Grimes,LS,BYU
519,Byron Cardwell,RB,San Diego State
520,Dontae Balfour,CB,Texas Tech
521,Terry Webb,DL,SMU
522,Blake Cotton,CB,Utah
523,Ka'ena Decambra,IOL,Arizona
524,Reuben Unije,OT,UCLA
525,Kalil Alexander,EDGE,Texas State
526,Izavion Miller,OT,Auburn
527,P.J. Williams,OT,SMU
528,Jakari Foster,S,Louisiana Tech
529,Jaylon Braxton,CB,Mississippi
530,Ryan Niblett,WR,Texas
531,Braylon James,WR,TCU
532,Calvin Simpson-Hunt,CB,Baylor
533,Nathan Leacock,WR,North Carolina
534,Ayden Williams,WR,Mississippi State
535,Lewis Carter,LB,UCF
536,Shamurad Umarov,OT,Tennessee
537,Derion Gullette,EDGE,Mississippi State
538,Joshua Padilla,IOL,Ohio State
539,Raymond Cottrell,WR,West Alabama
540,Samuel M'Pemba,EDGE,Texas A&M
541,Jameial Lyons,EDGE,Penn State
542,Bai Jobe,EDGE,Miami (OH)
